pk;id;artist;title;category;genre;cdextra;year;track01;track02;track03;track04;track05;track06;track07;track08;track09;track10;track11;track12;track13;track14
102302;a40b240c;Various Artistes;K-Pop Super Best;misc;;;;RunToYou;TheVeryScentOfYou;Seduce;T.O.P(TwinklingOfParadise);O.K-O.K;WeCanDoIt;JustInLove;FlyToTheSky;by-Dana;by-BabyVOX;by-PLT;Chance;;
102303;a40b390c;KC & The Sunshine Band;Collector's Edition (Vol. 1);misc;Disco;;1999;That's The Way I Like It;Shake Your Booty;I'm Your Boogie Man;Get Down Tonight;Thank You Fallettinme Be Mice Elf Again;I Like To Do It;When You Dance To The Music;Party With Your Body;Give It Up;(You Said) You'd Gimme Some More;Are You Ready;Let's Get Together;;
102304;a40b470c;The Countdown Singers;#1 Hits (Disc 1);misc;Pop;;2000;Oops... I Did It Again;It's Gonna Be Me;He Wasn't Man Enough;Show Me The Meaning Of Being Lonely;What A Girl Wants;From The Bottom Of My Broken Heart;The One;I Wanna Love You Forever;...Baby One More Time;If You Had My Love;I Turn To You;Bye Bye Bye;;
102306;a40b6a0a;Los Trios;Antología Musical;misc;TRIOS;;;Usted - Embrujo;De Que Sirvió;Gema - 3 Regalos;No Loraré Por Ti;Reloj - La Barca;Delirio - Irresistible;Quisiera Lorar;Cerezo Rosa - Gardenias;Soñe;Jacaranda - Odiame;;;;
102307;a40b6c0b;Warlord UK;Maximum Carnage;misc;Thrash Metal;;1996;Maximum Carnage;Disintergration;Change;No Where To Run;Vivesection;Race War;Alien Dictator;Theatre Of Destruction;Nobody's Driving;Chain Reaction;Raining Blood;;;
102308;a40b740c;Bob Dyer;River Runs Outside My Door;misc;Folk;;2001;Mississippi Sawyer;Flood Song;The Pony Express;Song for Pomp;The New Madrid Earthquake;The Wild Child of Gooch's Mill;Talking Water;Alf Bolin;The Hounds of Callaway;This Time Tomorrow;One Last Time;Wait for the Light;;
102309;a40b810b;Various Artists;Slow Jams - Timeless Collection Volume 3;misc;;;;Intro;Shirley Murdock / As We Lay;D Train / You're The Reason;Paul Lawrence / Cut The Crap;Special Delivery / I Destroyed Your Love (Parts 1 & 2;Special Delivery / Lonely One;Tavares / Penny For Your Thoughts;Lillo Thomas / I Wanna Make Love;Leroy Hutson / So In Love;Smokey Robinson / Baby Come Close;Switch / I Wanna Be Closer;;;
102310;a40b8f0c;Various;Boogie Wonderland (Disc 2);misc;Disco;;1978;Trammps / Disco Inferno;Vicki Sue Robinson / Turn the Beat Around;Michael Zager Band / Let's All Chant;La Flavour / Mandolay;Santa Esmeralda / Don't Let Me Be Misunderstood;"Dr. Buzzard's Original \Savannah\"" Band / Cherchez La Femme""";/C'est Si Bon;Van McCoy / The Hustle;Hues Corporation / Rock the Boat;Silver Convention / Fly, Robin, Fly;"Evelyn \Champagne\"" King / Shame""";Chaka Khan / I'm Every Woman;Odyssey / Native New Yorker;
102312;a40b950c;John Michael Talbot;Cave of the Heart;misc;;YEAR: 1999;1999;Smaller Than Small;Cave of the Heart;The Way Suite;Kyrie;Kyrie Motet;Gloria Motet;Glory to God;Devotion;Philippians Canticle;Common Fire;Inflame the Fire;Walk and follow Jesus;;
102313;a40bcc0d;4D-JAM;CITY OF TRACKS;misc;Pop;;;STRAWBERRY JAM;City Of Tracks;COCORO(Album Edit);CREAM&SUGAR;Natural Thing;Interlude:THE OUTSIDE;Woman Got Soul;å¤ªé™½ãƒŽãƒŠã‚¤æœ? æœˆãƒŽãƒŠã‚¤å¤œ(Original Edit);27â„ƒ;BRAND NEW  FLAME;Interlude:THE TOYS;MaMa;City Of Tracks(On The Day Mix);
102314;a40bda0c;K2;Real Spark;misc;Ballad;;;±×µé¸¸ÀÇ ½½ÇÄ? (Prologue);±×µé¸¸ÀÇ ½½ÇÄ?;¼¼´ë°ø°¨ (Oldies but goodies);¼ÒÀ¯ÇÏÁö ¾ÊÀº »ç¶û;²®Áú¿¡°Ô;¸®Æ² ·Î¸Ç½º;î¢üå (ÀçÈ¸);ÀÚÀ¯ÀÎ;Ñ·êÃ (±â¿ø);Corner of my mind;Lonely christmas;»ç¶û°ú ¿ìÁ¤»çÀÌ;;
102315;a40be70c;Julie Chapman;Lullaby;misc;Childrens Lullaby;;;Sleepy Town Train;If I could;Merry Go Round;The Gift;You Are My Angle;Over the Rainbow / Rainbow Collection;I Will Rock You;Jesus Loves Me;Starlight Starbright;Lullaby and Goodnight;A Mother's Prayer;Nightsong;;
102316;a40bee0c;Alice Maciel e Banda Pentecostal;Você não pode desistir;misc;Gospel;;2002;Você não pode desistir;Feche o guarda-chuva;Três ais;Céu;É com glória;Luz do mundo;O Guarda de Israel;Maranata;Levantai-vos mulheres;O Senhor está aqui;Nas mãos do oleiro;Ponto final;;
102317;a40bf10b;John Coltrane;Coltrane for Lovers;misc;Jazz;;2001;My One and Only Love;Too Young to Go Steady;In a Sentimental Mood;It's Easy to Remember;Dedicated To You;You Don't Know What Love Is;After The Rain;My Little Brown Book;Soul Eyes;The Say It's Wonderful;Nancy (With The Laughing Face);;;
102318;a40c000e;Percy Faith;Exotic String Of Percy Faith;misc;Instrumental;;;Baubles Bangles And Beads;Poinciana;Dancing In The Dark;The Night Was Made For Love;Adios;I Get A Kick Out Of You;All Through The Night;Blue Moon;Easy To Love;I Only Have Eyes For You;Soft Lights And Sweet Music;How High The Moon;If I Loved You;Stella By Starlight
102319;a40c050c;Gary Numan;Scarred - Disc 1;misc;Industrial;;2003;Intro;Pure;Me, I Disconnect From You;The Angel Wars;My Jesus;Films;Magic;Rip;Cars;Metal;Little Invitro;Down In The Park;;
102320;a40c2b0d;Dragon Ash;Lilly Of Da Valley;misc;Japanese Hip-Hop;;2001;Intro;21st Century Riot;Glory;Amploud;Bring It;Sunset Beach;My Friends' Anthem;Yuri No Saku Basho De;Aim High;Revolater;Deep Impact;Shizukana Hibino Kaidanwo;Lily of da Valley;
102322;a40c391c;Rachmaninov;Piano Concerto No.1, Rhapsody on a Theme of Paganini;misc;Symphony;;1987;1st Mov.: Vivace;2nd Mov.: Andante;3rd Mov.: Allegro vivace;Introduction;Variation I;Variation II;Variation III;Variation IV;Variation V;Variation VI;Variation VII;Variation VIII;Variation IX;Variation X
102323;a40c5a0d;Various;This is ZYX !!! (Promo);misc;misc;;;Michelle / Will you ever love me (Hype style radio mix);Samira / The rain (Radio swing mix);CITA / Don't walk away (Paul Vivona Radio);Esapina / Always and forever (Radio version);Antico / Dreamer (Radio edit);Zhivago / Celebrate the love (Radio version);Wise Guys / Summer love (Radio mix);Ice MC / Run for cover (Euro radio);Paul Parker / Can you feel love coming (Radio version);Love Affair / Higher (Radio mix);Safty Groove / Sweet dreams (Radio mix);Twice As Good / You oughta know (Radio mix);Honesty 69 / Never thought I'd see the day (Offical B.L. Radio);
102324;a40c7b0e;Operación Triunfo;Los Singles;misc;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14
102325;a40c810e;¡Ñ¹µÐ ¡ÑÅÂì¨ÒÄ¡;àÊé¹¢Íº¿éÒ;misc;Pop;;2000;01 - ãËé¡Ñ¹ä´éäËÁà¸Í;02 - ÊÐ¾Ò¹´ÒÇ;03 - àÊé¹¢Íº¿éÒ;04 - à·èÒ¹Õé...·ÕèµéÍ§¡ÒÃ;05 - á¤èà¸Í;06 - àÅ×Í¡áÅéÇ¤×Íà¸Í;07 - ÂÑ§¨´¨Ó;08 - ½Ñ¹¢Í§à¸Í;09 - à¾ÕÂ§ÊÑ¡¤ÃÑé§;10 - ÁÒÂÒ;11 - ¢Í·Õè¾Ñ¡ã¨;12 - ÂÑ§¨´¨Ó (ÎÔÇâ¡é);13 - àÊé¹¢Íº¿éÒ (Minus-1);14 - ãËé¡Ñ¹ä´éäËÁà¸Í (Minus-1)
102326;a40c830c;DB Bass Killaz;Bass Drag Racing;misc;BASS;;;The Method;Amp Shutdown;Future Ignition;Into the System;Audio Meltdown;System Overboard;1st Contact;Let the Rhythms Flow;Mental Overload;Electro Disfunction;Sub-Drop;Sybsonic Dementia;;
102327;a40c900c;Church of Betty;In Search of Spiritual Junkfood;misc;;;;Bodgaya;True Karma;Hammerhead Shark;Visions of Beauty;Virtual Reality;Crimson Tide;Evaporate Victoria;Alu Au Gratin;The Road Is The Gold;One Way Ticket;The Kicking Game;Spiritual Junkfood;;
102328;a40c940c;Nordwind;zu neuen ufern;misc;Vocal;YEAR: 1999;1999;zu neuen ufern;adieu msr. dutroux;was bleibt ...;armee der verlierer 2;stunde der entscheidung;du wolltest fliegen;jung, schön und sexy;wer immer kriecht;wir sind ...;don't ha ha;ravens in the sky;multi-media-track;;
102329;a40c990c;Kargo;Sevmek Zor;misc;Rock;;;Sonunda;Cunku Cok Zor;Sairin Elinde;Sen Her Zaman...;Ben Ve Dunya;Graffitti;Tanrim Affet Beni;Ayri Ayri;Lanetlenmis Omuzlar;Bad'lik Amiri;Sevmek Zor (Ins.);Yapabilir Misin? (Bonus Track);;
102330;a40cb00c;ZZ Top;Rhythmeen;misc;Rock;;1996;Rhythmeen;Bang Bang;Black Fly;What's Up With That;Vincent Price Blues;Zipper Job;Hairdresser;She's Just Killing Me;My Mind Is Gone;Loaded;Prettyhead;Hummbucking Part 2;;
102331;a40ccb0e;Love of my Life;Love of my Life;misc;;;1990;Love of my life;Baker Street;Don´t fall in love with a dreamer;Angel of the morning;Todo me recuerda a ti;This night won´t last forever;You´re having my baby;When I´m with you;Reminiscing;Sentimental Lady;Sharing the night together;Classic;He ain´t heavy, he´s my brother;What´s forever for
102332;a40cd70e;Diego Modena;The Best of;misc;Easy Listening;;;Ocarina II;Implora;Song of ocarina;cantica;Hotel la luna;Flying Officer;Camilléva;ocarina burning;Bag pipe raggae;Simple merlene;No no stranger;moonlight raggae;Les oiseaux;Song of ocarina
102333;a40cd80c;Various Artists;DJ Hype & True Playaz Presents Real Vibes;misc;Drum & Bass;(CD2) Mixed and Scratched by DJ Hype & DJ Zinc\nTrue Playaz TPRCD;1998;DJ Hype / Closer To God;Pascal / Reality Of 98 (Shimon Remix);Freestyles / Musically Dope (Ganja Kru Remix);DJ Nut Nut / The Finest;DJ Hype / Only One Life (Ganja Kru Remix);Pascal / Real Vibes;DJ Hype / The Big 30h;Terminal Outkasts / Way Out East;DJ Zinc / Driven;DJ Swift / 2Nd Strike;DJ Zinc / Toothbrush;Pascal / Pressure;;
102334;a40cec0c;Lorie Line;Beyond A Dream;misc;;;;Prince of Tides Main Title;Robin Hood: Prince of Thieves - Everything I Do;The Secret Garden - Come to My Garden;Blowin' In The Wind;Les Miserables;Beyond a Dream;Joseph & The Amazing Technicolor Dream Coat - Close Every Door;Any Dream Will Do;Starry, Starry Night;Peaceful Soul;Canon in D;Shenandoah;;
102335;a40cef0c;Loona;Entre dos Aquas;misc;Pop;ID3G:  12;1999;Pajaro sin Cielo;Salvador Dali;Entre dos Aquas;La vida es una Flor;Escuchame (ai,ai,ai);It's love para siempre;Salvador Dali - Dance Remix;Tell me Why?;It's alright;Navidad (Christmas);Buenas Noches (Good Night);Entre dos Aquas - Instrumental;;
102336;a40cf10e;Martinho da Vila;Conexões;misc;UnClassifiable;;2003;Martinho da Vila - Como Você;Martinho da Vila - Femmes (Mulheres);Martinho da Vila - Ó Nêga;Martinho da Vila - Lentement (Devagar, Devagarinho);Martinho da Vila - Mainha Antiga;Martinho da Vila - Dysrythmie/Ex Amour (Disritimia/ Ex Amor);Martinho da Vila - Eu Você, Você e Eu;Martinho da Vila - Pleures Caroline (Chora Carolina);Martinho da Vila - Nem Réu Nem Juiz;Martinho da Vila - Brinquei Demais;Martinho da Vila - Boemia (La Boheme);Martinho da Vila - Pour Qui Tout Termine Mercredi (Pra Tudo Se Acabar Na Quarta-Feira);Martinho da Vila - Vila Isabel;Martinho da Vila - Le Petit Borgoese/Chant Chant Mon Peuple (O Pequeno Burguês/ Canta Canta Minha Gente)
102338;a40cf80c;MPB - Compositores;CD_15 - Ivan Lins;misc;;;;Somos Todos Iguais Esta Noite (Ivan Lins, Chucho Valdes e Irakere);Madalena (Elis Regina, Ivan Lins e César & Cia);Come ar De Novo / Bilhete (Emílio Santiago);Bonito (Ivan Lins);Mãos De Afeto (Nana Caymmi);Vitoriosa (Ivan Lins);Aos Nossos Filhos (Jane Duboc);Sede Dos Marujos (Ivan Lins);Cartomante (Elis Regina & Cia);Desesperar Jamais (Ivan Lins e Roberto Ribeiro);Bandeira Do Divino (Banda Sinfônica Do Agreste - São Caetano);Lua Soberana / Confins (Ivan Lins, Chucho Valdes e Irakere);;
102339;a40d000c;U2;Achtung Baby;misc;;;;Zoo Station;Even Better Than The Real Thing;One;Until The End Of The World;Who's Gonna Ride Your Wild Horses;So Cruel;The Fly;Mysterious Ways;Tryin' To Throw Your Arms Around The World;Ultra Violet (Light My Way);Acrobat;Love Is Blindness;;
102340;a40d2c0c;Amel Larrieux;Infinite Possibilities;misc;misc;;;Get Up;I N I;Sweet Misery;Searchin' For My Soul;Even If;Infinite Possibilities;Shine;Down;Weather;Make Me Whole;Get Up (Thread Had Fun Main Mix);Get Up (MV Mig Mix, Radio);;
102341;a40d350e;Nikos Karagiannis;Mikres odusseies;misc;entexno laika;;2003;Mikres odusseies;Xafnika;Gela kardia mou;Fthinoporino mou xelidoni;Tha eimai ekei;Nyxtes affegares;Fygame;Yperoxo taxidi;Prin na'nai arga;S'agapw giati;Eleni mikro mou;Kai ti tha peis;Gia mena;Soma kai psyxh mou
102343;a40d3a0c;Plasma;shadow kingdom;misc;minimal techno;;2001;intro;cornflakes;tron;mythos;lisa s.;dope from moscow;urine;barbados;shadow kingdom;wintersunshine;dataset;tote menschen;;
102344;a40d3f0c;Manny Manuel;Solo y con Los Sabrosos dem merengue;misc;Merengue;;;Por que tengo ganas;Frente a frente;Ya te olvide;Te amo;Con todo y mi trsiteza;Y quien puede ser;Fiera callada;Colegiala;La chicca de la escuela;El dia que acaricies, llorare;Cosas de enamorados;Viejo amor;;
102345;a40d530c;Raulin Rodriguez;Perdido por ti;misc;Bachata;YEAR: 2003;2003;Tonto Amor;Buena que ta;Amor de madrugada;Que será de ti y de mi;Quiero saber que te pasa;Perdido por ti;Quiero dormir cansado;Me morire de amor;Amor de mi vida (Version #1);Amor de mi vida (Version #2);Dimelo mujer;Navidad Navidad (Version Merengue Orquesta);;
102346;a40d630c;Stavros Lantsias;Epistrofi;misc;Instrumental;;1999;To Preloudio ths Epistrofhs;Epistrofh;Athoothta;Anazhthsh;To Vals Twn Matiwn;Henry and June;Sokkaki;Anamnhsh;To Oneiro Toy Satie;O Thanatos Toy Tavrou;Amfivolia;To Tragoydi toy Haig;;
102347;a40d650a;compilation;The Dance Floor Chemist - Disc 2: Acid;misc;Trance;;1997;Playing on Plastic;Wet Paint;Clockwork 2;Green Dreams;Sunspot;AcidChild;Defrome;Track with No Name;Domini;Dixons;;;;
102348;a40d670b;Yaakov Shwekey;Yaakov Shwekey;misc;Other;YEAR: 2001 ID3G:  12;2001;Shomati;B'ni;Habeit;Shehechiyanu;Mehairoh;Sois Tosis;Rachem;Boruch Hagever;Chasoif;Hinei;Hakol Koreh;;;
102349;a40d760d;Various Artists;ªF¤è¤§¯]¢¼;misc;;;;»¯¶Ç / ¾¾¡I²ï²ú;«½«½¡BÃ¹¤j¦ö / ¦p¤µ¤~¬O°ß¤@;§õ©v²± / °­°g¤ßÂ¬;¶ÀÅaÅa / °Q§AÅw¤ß;±i¬x¶q / §A©l²×¤´ÂÂ¦b;ªL±j / ¦V«e¨«;¦¨Às / ¦ýÄ@ªá±`¦b;«½«½ / ¬K¤§²½;³¯ª@ / §â´d¶Ë¯dµ¹¦Û¤v;¶ÀÃý¬Â / Ãö¤£±¼ªº¦¬­µ¾÷;Ã¹¤j¦ö / ¥À¿Ë;±i«H­õ / Ãø¥H§Ü©Ú©p®eÃC;³¯²Q¾ì / °Ý;
102350;a40d7f0c;Megadump;Speartackle;misc;;;;Still Here;Fallout;White Lights;Body Rapture;Total Control;Their Eyes;Virus;Nevermore;Right Back;Rebirth;Delirious (Polaris Mix);The Chase 2000;;
102351;a40d800c;mother's finest;Looks Could Kill;misc;Rock;YEAR: 1989 ID3G: 17;1989;For Your Love;I'm N Danger;Legs and Lipstick;Dream ComeTrue;Stilloveach Other;I'll Never Be the Same;Brave and Strong;Your Wish is My Command;Cherish Your Lover;Heartbreaker;Call Me Mister;Too Serious;;
102352;a40da10f;ÂÁÓÉËÇÓ ÔÅÑËÅÃÊÁÓ;Ï ÊÁËÕÔÅÑÏÓ;misc;;;;ÌÁ ÍÁ ÌÇ ÎÅ×ÁÓÅÉÓ;ÅËÁ;ÅËËÁÄÁ;ÔÉ ÆÇÔÁÓ ÁÐ' ÔÇ ÆÙÇ ÌÏÕ;ÈÅËÙ ÁÍÈÑÙÐÏÓ ÍÁ ÆÇÓÙ;ÂÏÑÑÉÁÓ;ÅÎÁÑÔÇÓÇ;ÌÅ ×ÉËÉÁÄÅÓ ÁÍÁÌÍÇÓÅÉÓ;ÄÅÍ ÕÐÏÖÅÑÅÓÁÉ;ÁÅÔÏÓ;ÁÌÌÁÍ;ÁÓÅ ÌÅ ÍÁ ÓÅ ÎÅ×ÁÓÙ;Ó' ÁÃÁÐÁÙ ÌÅÍ ÁËËÁ;ÊÁÍÅ ÌÅ ÊÏÌÌÁÔÉÁ
102353;a40da70c;Mixed by Alex J.;Tropical Deep - A Journey into Deep Rhythms;misc;House;;2001;A Sax Solo (Spanish Jazz Mix);Follow Me (Stomp Mix);Jazz Step (Acid Jazz Mix);Better Day (Vocal Mix);Feel The African Sun (African Mix);Deep Soul;Remember (Soundtrack Mix);High Priestess (Feel Like Flying);Can U See The Music;Jam On;Time;What I Want (Percussion Dub);;
102354;a40dc20d;Nocomment;Painkiller;misc;;;;Song of a stranded mergirl;Back in the 80's;Revenge;The wedding guest;Running backwards in slow motion;Painkiller;Her eyes rolled back;Every second;In another time;A dream within;Perfect toy;I don't care tonight;Cold (rain on blue skin part II);
102355;a40de20c;Benjamin Diamond;Strange Attitude;misc;Pop;;2000;Intro;Little scare;18 and over;Strange attitude;U were born;Joyride;The rain;Just a little time;Playin' with myself;In your arms (we gonna make it);Rich personnality;Read in your mind;;
102356;a40de60c;Johan Onvlee;The healing art of dorian music - Spiritual sounds of harp;misc;;;;Attention;Resound;Survey;Refinement;Rocket;Create;Theme;Rule;Announcement;Call;Reality;Wake;;
102357;a40df40e;Flynn;On Your Way;misc;Rock & Roll;;2001;On Your Way;Million Miles;White;LoveSong;Missionary Man;Don't Mind;Familiar;Love Is Blind;Believe;For You;Tell Me Your Name;Walking In Line;Shake;Today
102358;a10e011d,a40e011d,a80e011d;Various;The Digital Domain - A Demonstration;misc;Instrumental;r Special Products YEAR: 1983xecutive Producer: Mickey Kapp\nProduced;1983;The Digital Domain;Loren Rush / Study For Reverie;James Moorer / Lions Are Growing;Margaret Fabrizio / Hologram 9;Bill Schottstadt / Colony V;Specific Racquetball;Janis Mattox / Call To The Spirits (from Shaman);Janis Mattox / Song From The Center Of The Earth (from Shaman);Janis Mattox / Passage (from Shaman);W. Andrew Schloss / Towers Of Hanoi;Generic Racquetball;Michael McNabb / Love In The Asylum;Janis Mattox / Venice Beach;David Jaffe / Silicon Valley Breakdown
102359;a40e040c;Badesalz;Live;misc;misc;;;Ansage;Vaz Daz Den ?;Drei Mack Leihgebühr;Gig;Frau Batz;Sani Announcements;Kummadiomada;Polizei Announcements;Rock n' Roll Tigers;I still haven't found what i'm Looking for;Always look on the bright side of Life;Black or White;;
102360;a40e060c;Various;Cosmo a-go-go;misc;Rock;;;Fantastic Plastic Machine / Whistle Song;Kiip (featuring Yukimi Nagano) / Summer Sun;Arling & Cameron / Voulez-Vous?;Q-Burns Abstract message / This TIme;Etienne Daho / Au Commencement;Block 16 featuring Jhelisa / Find An Oasis;A:xus featuring Naomi Nsombi / Baghdad Cafe;Ann Margaret / Thirteen Men;Four Piece Suit / Something For Cat;Si*Se / Slip Away;Mosquitos / Rain Song;Luka Bloom / I Need Love;;
102361;a40e100c;Terry Pratchett;Hogfather;misc;Audio Book;YEAR: 1996;1996;Hogfather (Disk 02) - Track 014;Hogfather (Disk 02) - Track 015;Hogfather (Disk 02) - Track 016;Hogfather (Disk 02) - Track 017;Hogfather (Disk 02) - Track 018;Hogfather (Disk 02) - Track 019;Hogfather (Disk 02) - Track 020;Hogfather (Disk 02) - Track 021;Hogfather (Disk 02) - Track 022;Hogfather (Disk 02) - Track 023;Hogfather (Disk 02) - Track 024;Hogfather (Disk 02) - Track 025;;
102362;a40e110b;Reinhard Mey;Mit Lust Und Liebe (CD 1);misc;;YEAR: 1991;1991;Ich wollte wie Orpheus singen;Die Homestory;In Lucianos Restaurant;Mein Dorf am Ende der Welt;Zwei Hühner auf dem Weg nach Vorgestern;Kleiner Kamerad;Zwischen allen Stühlen;Ich hab´ meine Rostlaube tiefergelegt;Allein;Das Meer;Diplomatenjagd;;;
102363;a40e140e;Devics;If You Forget Me...;misc;Alternative;;1998;Prelude;Blue Miss Sunday;Three;Birdback;Form;Afraid Of Loving You;Firehead;Key;Opus 7;Spooky;Heaven Please;Siren Song;With The Voice Of A Girl Who Still Hasn't Learned;If You Forget Me
102364;a40e320b;Bella Morte;Remains;misc;;;;One Winter's Night;Remorse;As Heaven Sang;Evensong;Angels & Faith;Funeral Night;As We Descend;Nevere;Remains;Silver Crosses;Stygian Shores (extended);;;
102365;a40e460b;Evergreen Club]p[Gilles`Tremblay]p[James`Tenney]p[John`Cageud;Road to Ubud;misc;;;1996;L'Arbre de Borobudur (1994);The`Road to Ubud (1996);Haika 1 (1986);Haika 2 (1986);Haika 3 (1986);Haika 4 (1986);Haika 5 (1986);Haika 5 (1986);Haika 6 (1986);Haika 7 (1986);Cortege for Si Pawit (1998);;;
102366;a40e471e;Various Artists;Travel Tunes;misc;;;;Girls and Boys Come Out To Play;How Many Miles To Babyland;I Took A Walk;Let's Take A Walk;Baby Bumble Bee;Billy Boy;Clean Up;Cobbler Cobbler;Good Morning To You;Happy Birthday;I've Been Working on the Ant Hills;Little Tommy Tucker;Pinocchio;My Little Nut Tree
102367;a40e550c;Psychotic Genius;Ganksta Nip;misc;Rap;;1996;Uncle Sam;Psychotic Genius;Small Town Killas;Peep Da Game;Slaughterhouse;Goin To Da Death;Psychflow;Hood Talez;Peace To Da Young G's;Crimewave;Hollowgrams;Murda After Midnite;;
102368;a40e620d;Raj Kapoor;Best of Raj Kapoor on Mouth Organ;misc;;This CD includes only instrumental (mouth organ) music for some popular Ra;;Raj Kapoor / Ruk Ja O Janewali Ruk Ja;Raj Kapoor / Kehta Hai Joker Sara Zamana;Raj Kapoor / Kisi Ki Muskurahton Pe;Raj Kapoor / Jeena Yahan Marna Yahan;Raj Kapoor / Duniya Banane Wale;Raj Kapoor / Dost Dost Na Raha;Raj Kapoor / Dam Dam Diga Diga;Raj Kapoor / Mera Naam Raju;Raj Kapoor / Awara Hoon;Raj Kapoor / O Mehbooba;Raj Kapoor / Pyar Hua Iqraar Hua;Raj Kapoor / Joshey Jawani Haye Re Haye;Raj Kapoor / Mera Joota Hai Japani;
102369;a40e950c;Andre Rieu;King of Waitz;misc;;;2001;The Second Waltz;You Are My Hearts delight;The Gipsy Baron;The Blue Danube;Lara's Theme;Tales From the Vienna Woods;Viennese Blood;Glenn Miller Melody;Kalinka;La Vie Est Belle;Music Of The Spheres;Bolero;;
102370;a40ea80e;V.A.;Melwdia FM 99.2 CD2 (2003);misc;Laika;YEAR: 2003;2003;S' akolou8w-M.Fragkoulhs;Epistrofh-S.Lantsias;H mera ekeinh den 8' arghsei-D.Galanh-M.Loizos;To xrwma ths meras-T.Tsanaklidou;Gia ligo-A.Kalofwlias-8.Amorginos;H eutuxia einai auto-M.Famellos;Deja Vu-M.Nikoloudhs;Xwris esena-D.Korgialas;Dipsasmeno xwma-T.Nassibian;Ti na 'nai auto-Ypogeia Reumata;Isogeio-E.Peta;Angels dance A'-A.Mitzelos;Rwthsa kapote-F.Darra;Holiday-N.Lotsarh
102371;a40ead0d;TRF;UNITE;misc;Pop;YEAR: 1998 ID3G: 13;1998;Realize;frisky a GO-GO! Sunset Boulevard Mix;Frame;in the move to be;darkscape;EARL GREY;TRY OR CRY;Meltin' you;Future Shock;Friends;It's My TIME;Get up! Stand up! Unity!;Unite! The Night!;
102372;a40eb60d,a50ea60d,b00eba0d;Lisa Stansfield;Real Love;misc;Popular;YEAR: 1991;1991;Change;Real Love;Set Your Loving Free;I Will Be Waiting;All Woman;Soul Deep;Make Love To Ya;Time To Make You Mine;Symptoms Of Loneliness & Heartache;It's Got To Be Real;First Joy;Tenderly;A Little More Love;
102373;a40eb70b;Rush;"1992-01-30 - Oakland Coliseum, Oakland, CA - \Mirrors\"" - Disc 1""";misc;;;;Rush / Intro (The Three Stooges Theme),Force Ten;Rush / Limelight;Rush / Freewill;Rush / Distant Early Warning;Rush / Time Stand Still;Rush / Dreamline;Rush / Bravado;Rush / Roll The Bones;Rush / Show Don'T Tell;Rush / The Big Money;Rush / Ghost Of A Chance;;;
102374;a40eba0c;Wave In Head;You;misc;Synthpop;YEAR: 2002;2002;We Are The Scene;Zeitgefuhl;If I Was You;Im Traum;The Other Side;Winter;With You;Free To Leave;Hide My Mind;For A Long Time;Emotional Machines;The Atom Of The Moment;;
102377;a40f320b;Nosferatu;The Best of Nosferatu, Volume 1: The Hades Years;misc;;;;Witching Hour;Torturous;The Night Is Young (Manic Mix);Lucifer Rising (Part 2);Darkness Brings;Ascension;Uninvited Guest (No Other Medicine);The Gauntlet (Demon Seed Mix);Graveyard Shift;Invocation;Untitled;;;
102378;a40f3b0d;James River Singers;Psalms and Spiritual Songs;misc;Vocal;YEAR: 2002;2002;Salmo 150 -- Aguiar;Sicut cervus -- Palestrina;Chorus: Wie der Hirsch schreit -- Der 42. Psalm -- Mendelssohn;Aria: Meine Seele dürstet -- Der 42. Psalm -- Mendelssohn;Recitative-Arioso-Chorus -- Der 42. Psalm -- Mendelssohn;Chorus-Recitative-Quintet -- Der 42. Psalm -- Mendelssohn;Chorus: Was betrübst du meine Seele -- Der 42. Psalm -- Mendelssohn;Hvad est du dog skøn -- Grieg;I himmelen, i himmelen -- Grieg;Cloudburst -- Whitacre;Pilgrim's Hymn -- Paulus;Psalm 90  -- Ives;Shenandoah -- arr. Erb;
102379;a40f4a0e;MYRIAM MAKEBA;MYRIAM MAKEBA;misc;Musical;;;Comme Une Symphonie D' Amour;Malaisha ( Bring The Axe );Iyaguduza;Chicken ( Kikirikiki );Ndibanga Hamba;Sabelani;Ngewundini;African Convention;Murtala;Country Girl;Xica Da Silva;Witch Doctor ( Isangoma );The Lion Cries ( Mbube );Click Song
102380;a40f510c;Dave Crowder & The UBC Band;All I Can Say;misc;;;;All I Can Say;He Was There;Make A Joyful Noise - I Will Not Be Silent;He Is The Love;Rain Down;Lift My Eyes;The Color Song;Come Thou Fount;The Heights;Cry Mercy;Thank You For Hearing Me;Come Thou Fount ( Acoustic );;
102382;a40f700c;Roger Sancheze Underground Classics);S-Man Classics The Essential Sanchez Mixes (CD 2 - The Underground Classics);misc;;;;Roger S Presents / The Deep - Deep;Dream Team / Love Is What We Need (S-Man's Brotherhood Mix);Tribal Infusion / Sumba Lumba (Secret Weapon Mix);K.O.T. / Fade II Black (Roger's Blackout Remix);Raw Stylus / Pushing Against The Flow (Narcotic Mix);The S-Men / Back (Roger's Ill Steelo Mix);S-Man / Time II Stop (9-5 Mix);Corinna Joseph / Live Your Life With Me (Narcotic Vocal);Roger S / My Organ (From 'Illegal EP');Roger S / Get Hi (The Original Mix);Beatboxx Featuring Chazzie / Keep On Jumpin' (Egotrip Mix);The Underground Solution / Luv Dancin' (In Deep Mix);;
